Дата;Час;BTC (€);ETC (€);FLR (€);EXI2 ETF (€);MRVL (€);VanEck DFEN (€);Robo-Advisor (€);Крипто Общо (€);Инвестиции Общо (€);Портфолио Общо (€);BTC цена ($);ETC цена ($);EXI2 цена (€);MRVL цена ($);DFEN цена (€);EUR/USD;Дневна промяна (€);Дневна промяна (%)
11.08.2026;23:06;50.57;37.0;0.08;50.11;40.65;49.66;23.37;87.65;163.79;251.44;63580.0;6.35;104.95;157.2;55.715;1.1542;0;0
12.08.2026;23:06;50.54;36.86;0.08;50.11;40.65;49.66;23.37;87.48;163.79;251.27;63438.0;6.31;104.95;157.2;55.715;1.1522;-0.17;-0.07
13.08.2026;23:19;50.47;36.39;0.08;50.11;40.65;49.66;23.37;86.94;163.79;250.73;63376.0;6.23;104.95;157.2;55.715;1.1525;-0.54;-0.21
14.08.2026;23:26;49.93;35.79;0.08;50.11;40.65;49.66;23.37;85.8;163.79;249.59;62913.0;6.16;104.95;157.2;55.715;1.1565;-1.14;-0.45
15.08.2026;23:04;50.04;36.33;0.08;50.11;40.65;49.66;23.37;86.45;163.79;250.24;63062.0;6.25;104.95;157.2;55.715;1.1563;0.65;0.26
16.08.2026;23:26;50.03;35.85;0.08;50.11;40.65;49.66;23.37;85.96;163.79;249.75;63050.0;6.17;104.95;157.2;55.715;1.1564;-0.49;-0.2
17.08.2026;23:25;50.95;35.92;0.08;50.11;40.65;49.66;23.37;86.95;163.79;250.74;64269.0;6.18;104.95;157.2;55.715;1.1578;0.99;0.4
18.08.2026;23:11;51.24;35.32;0.08;50.11;40.65;49.66;23.37;86.64;163.79;250.43;64598.0;6.08;104.95;157.2;55.715;1.1572;-0.31;-0.12
19.08.2026;23:36;54.03;36.73;0.08;50.11;40.65;49.66;23.37;90.84;163.79;254.63;68728.0;6.37;104.95;157.2;55.715;1.1676;4.2;1.68
20.08.2026;23:20;57.12;39.42;0.09;50.11;40.65;49.66;23.37;96.63;163.79;260.42;72652.0;6.84;104.95;157.2;55.715;1.1676;5.79;2.27
21.08.2026;23:11;60.62;43.86;0.09;50.11;40.65;49.66;23.37;104.57;163.79;268.36;77116.0;7.62;104.95;157.2;55.715;1.168;7.94;3.05
22.08.2026;23:02;60.84;45.81;0.09;50.11;40.65;49.66;23.37;106.74;163.79;270.53;77399.0;7.95;104.95;157.2;55.715;1.1711;2.17;0.81
23.08.2026;23:31;60.83;45.41;0.09;50.11;40.65;49.66;23.37;106.33;163.79;270.12;77376.0;7.89;104.95;157.2;55.715;1.1689;-0.41;-0.15
